name,line
Geralt, No.
Baron," Ah, thank the gods for that. So, Annie -- what happened to her?"
Geralt," The creature carried her deep into Crookback Bog. Didn't harm her,"
Baron," Content? What is this tripe, witcher? What in bloody blazes is she"
Geralt," Probably gonna say you're not the only one to blame. All right,"
Baron, With Annie...it was love at first sight. A spear tore through my
Geralt, All right. What then?
Baron," I went from front to front, battle to battle, collecting soldiers'"
Geralt, How'd you find out?
Baron," Came home one day and Anna was gone, her things, too. Found a"
Geralt, Imagine Anna wasn't exactly pleased...
Baron," Hah! Bloody understatement, if I've ever heard one! She flew into a"
Geralt," You're right -- fault on both sides, yours and hers."
Baron," I'm content that you finally see that. Very well, then -- if you"
Geralt," Got only yourself to blame, I think. Leaving her to fend for"
Baron, How was I not to? I was a soldier! I had no choice.
Geralt, There's always a choice.
Baron," Argh, sod it all. I see all my prattling's for naught. You won't"
Geralt, Don't know why you're telling me all this. Your relationship with
Baron," Argh, a witcher. Should've expected as much. Very well, then -- if"
Geralt, Guess they call you the Bloody Baron for a reason after all...
Baron, What?
Geralt, Your nickname. Makes sense now.
Baron," No, no, that's an entirely different story."
Geralt, Still seems like your fault to me.
Baron, Will you let me finish?
Geralt, We had a deal. I've done my part. Your turn to do yours.
Baron, A word once given... Now what did I last...?
Geralt, Basilisk. It'd just attacked you.
Baron," Ah, right. Gargantuan. One solid brute. It landed right in front of us."
Baron, She mounted and rode off. It grew awfully empty without her...
Geralt, So there's a chance Ciri's still in Novigrad... Thanks for helping
Geralt," She disappeared from Novigrad, too. Checked that. Thanks for helping"
Geralt," Redanian army's blocked the Pontar crossing, yet you sent Ciri to"
Baron," She was looking for a sorceress, and all of them are in Novigrad."
Geralt, Where'd you get these letters?
Baron, Haven't always led this pack of jesters. Served in the Temerian army
Geralt, Redanians guard the crossing.
Baron," True, but with a bit of fame and a friend here or there...well,"
Baron," It's nothin'. Now you've learned what you wanted to know, you must be"
Geralt, Spit it out.
Baron," I want to get back Anna. Free her, bring her back. I don't believe she's"
Geralt, Must've not heard me. Any journey into the swamp is suicide.
Baron, I heard you -- which is why I could use your aid. I've no more tales of
Geralt, Hmm... Extra coin never hurt.
Baron, Ha! True indeed! I'll round up my men and ride for Downwarren. You
Geralt, Fine. Sounds good.
Geralt, What'll happen if I don't go with you?
Baron, To you? Nothin'. Though I'll probably lose a few more men in the
Geralt, I'll think about it.
Baron, Fuck thinkin'. Just help me. I'll gather my men and ride to
Geralt, What the...?
Sergeant, There you are! Escaped again. Sorry. We was never here.
Baron," So, witcher! How do you like my court jester? Maybe you can tell -- is"
Geralt, What was that?
Baron," You tell me. Man or monster? My men call him Uma and say he's a beast,"
Geralt," Definitely man, trapped by a powerful curse. And somehow linked to"
Baron, What do you mean? How can that thing be tied to your Ciri?
Geralt," Long story, but I know he's the key to finding her. I need to take"
Baron," Hmm... If it'll help you find your daughter, I'd be a pure bastard"
Baron, The witcher here's gonna take Uma. No one's to get in his way.
Guard," Aye, sir."
Geralt, Where'd you find him?
Geralt," Hmm... Doesn't look like a monster, but my medallion's trembling."
Baron," Funny story, actually. I won him in a game of cards."
Geralt, Funny story? How so?
Baron," Went to Novigrad once, to rest, indulge in the city's pleasures."
Geralt, Proper baron now -- even got a jester.
Baron, Aye... Though I feel something's not right with him.
Geralt, How so?
Baron," Well, he seems more beast than man, but there's wisdom, cunning in"
Geralt, No. But he doesn't look dangerous.
Baron," Hmm...I guess that's that. Doesn't eat much, so as long as he's no"
Geralt, Hilarious. Real side-splitter.
Baron," Ohh, you wouldn't know a good tale from a runny fart."
Geralt, Must've been pretty desperate to play for that.
Baron," Ah, quit your carping, smartarse. Someone wagered him, so we played."
Geralt, Uma? Strange name.
Baron," Aye, strange. But he gave us no other."
Geralt, You mean he can talk?
Baron, Hardly... It was like this -- I asked what they call him. He sat
Geralt," Thanks, Baron. So long."
Geralt, Time I was on my way. So long.
Baron, Farewell. I hope you find your daughter. And prove a good father to
QUEST, IN CIRI'S FOOTSTEPS (VELEN) |_
Geralt, • Good
Geralt," There you are... Here, goat! Ahem... Here, Princess! Hoofed and horned"
Geralt, • Should've guessed as much. What's a witcher compared to a patch of
Geralt, Where the hell'd you go?
Geralt," • Bear! Bear! Run, you stupid piece of shit!"
QUEST, IN CIRI'S FOOTSTEPS (VELEN) |_
STORY, THE RACE                                               [WK6H]
Baron," That lass of yours, pure luck in the flesh. To hunt down a wild boar"
Baron," Ciri! Come! Whole haunch should be yours, as I see it!"
Sergeant," Aye, you done well, lass."
Guard," Not bad, not bad at all, but who goes boar huntin' with a sword?"
Ciri," No bow at hand, no spear. My sword was all I had."
Guard," Heheheh. Well, you brandished it beautifully. Where'd they teach you"
Ciri, At Kaer Morhen.
Guard," Witchers' school there, aye. But they only took lads, as I recall."
Ciri, They made an exception for me.
Guard, Right. Mean to say you're a she-witcher?
Ciri, Not entirely. The mutations -- I was never subjected to them. But
Guard, Know any of them potions?
Ciri, Not so much. A bit.
Guard," Cause¹ you see, atimes I get this pinchin' back here..."
Guard," Shut it, Ygrin. Nobody cares about your backside!"
Ciri, I'm not a witcher. Just grew up there.
Guard," I believe it, seein' you swing that sword. Know any of them potions?"
Ciri, Not so much. A bit.
Guard," Cause¹ you see, atimes I get this pinchin' back here..."
Guard," Shut it, Ygrin. Nobody cares about your backside!"
Ciri," Mh. A little here, a little there..."
Guard, Not surprising given you wander the world alone.
Guard, Not alone no more! She's in the company now!
Guard," That's right! You're a member of the company! We're drinkin' together,"
Ciri," Let's say I go about my business, and when there's coin to be earned,"
Guard," I've always 'eld -- with the world 'ow it is today, lasses ought to"
Guard," All right, all right."
Ciri," Mm, a witcher -- though, not entirely. I never went through the"
Guard," A witcher? So, apart from the sword play, what, you know potions and"
Ciri, Not so much. A bit.
Guard," Cause¹ you see, atimes I get this pinchin' back here..."
Guard," Shut it, Ygrin. Nobody cares about your backside!"
Ciri, I just travel a lot. And I don't always happen upon such good and
Guard," Aah, gift of the gab, she's got. Here's to good company!"
Sergeant," This I like! Drinks like a lad, knows her sword work, kills a boar"
Guard," All right, all right."
Guard, A woman could swing a sword -- I've knowed one. But never seen a lady
Ciri, Perhaps you'd care to wager?
Guard," Think you can outrun me on an 'orse? Hahahah, naturally! What's the"
Ciri, Black mare. The one in the stable.
Guard," Oh, that won't do at all..."
Ciri, What happened? You get the jitters?
Guard, No.
Ciri, Hahaha. So why not?
Ciri, Well that's an awfully gloomy face. Too much of a coward to race a
Baron, The horse is mine.
Ciri, To race the baron himself -- I'd consider it an honor.
Sergeant, Oh-oh! That'd be a sight to behold!
Guard, Would it ever!
Baron," Done. But if I win, I take your sword."
Ciri, Agreed.
Baron, I'd not drink anymore this night. You'll want your head about you. We
Baron, The day dawns.
Ciri, Ready?
Baron, As ever. First one to the tower.
Guard, Mount up!
Sergeant," Come on, Ciri! Don't you embarass us!"
Baron, Your sword is mine!
Ciri, That'll be the day!
Baron," Wan't that horse, don'tcha?"
Ciri, Had one just like it!
Ciri, Aaaaa!
Baron," You're wind, not woman! Worthy of the best horse! The mare is yours!"
Ciri, Thank you!
Baron, Haha-hahahaah!
Ciri, Dammit! By a hair!
Baron, See that? Not nearly as haggard as you think me!
Ciri, Congratulations.
Baron, Unnecessary. Better bid your sword farewell. I await my reward!
Baron, What?
Ciri, Another chance to win.
QUEST, IN CIRI'S FOOTSTEPS (VELEN) |_
Geralt, I'm on the right path.
Kid," Dog went in the kitchen, stole a hunk of meat."
Kid," Cook gave him a lickin', strung him by his feet."
Kid," Cook then bled him empty, stripped his skin off clean."
Kid," Laughed and said, ""How tasty, best sausage I have seen!"""
Kid," Cook's a stupid killer, shouldn't 'ave ate the pup."
Kid," Now we'll light a fire, gonna roast him up!"
Kid," One, two, three, the one to fetch the kindling's...thee!"
Geralt, Interesting rhyme.
Kid, Don't know you. Go away.
Geralt, A young woman got lost in the swamp. She has ashen hair and a scar on
Kid, Ain't no lassies here.
Kid, What am I?
Kid, You're no lassie. Lassies got tits.
Kid," They do. Heard an ol' man say once, when the army was here, he says,"
Geralt," Listen, the girl I'm looking for, she's in trouble. I understand you"
Kid, How do you know she was here?
Geralt, I heard she visited the witches in the swamp.
Kid, But there's no witches here.
Kid, There's only frogs.
Kid, And snakes.
Kid, And Johnny.
Geralt, Anyone else here? Besides you?
Kid, Meaning who?
Geralt, Someone who might've seen the woman.
Kid, Like the six-eyed tree?
Kid, Tree's slept all year. But there is Johnny.
Geralt, I'm looking for the witches of Crookback Bog.
Kid, You looks like a witch you'self.
Kid, The wi...witches? Of the bog?
Kid, We can't go in the bog. Gran don't let us.
Kid," When my brother Zemek went missin', Gran said it was 'cause he went in"
Kid, He could still come back.
Geralt, What are you doing out here alone?
Kid," We's not alone, we's with Gran."
Geralt, But where did you all come from?
Kid, We's orphans.
Geralt, All of you?
Kid," There's a war, so there's orphans. Didn't know that?"
Gran, What's this talk? What kind o' jabberin' is this? Eh? No one allowed
Geralt, Just talking to the kids. Asked them if they'd seen a young woman.
Gran," I was a lovely young woman. Wore a long, beautiful braid my mummy did"
Geralt, Maybe you've seen her. Young... Ashen hair.
Gran, Your betrothed?
Geralt," Daughter, actually."
Gran," Daughter... My dear, sweet little daughter and her sister. Where are"
Geralt," A bit of help, please? A young, ashen-haired woman. Just need to"
Gran," What are you looking at, children? Wash your hands, we'll go catch"
Geralt, Won't learn anything from you.
Gran, Aye. 'Cause I don't know nothin'.
Kid," Bet Johnny knows. He knows a lot. When I ask 'im omethin', he says:"
Gran," Ugly word! What're you sayin'? To the hut. You'll stand in a corner,"
Geralt, Had about enough of this. Asked a simple question. You seen the
Gran," Fear not, children..."
Kid," There's naught to fear, Gran. He's only angry 'cause he cares."
Kid," Maybe Johnny knows something. I'll take 'im to Johnny, afore he goes"
Gran, Johnny's your invention -- and you shouldn't be using those ugly
Geralt, Who's Johnny?
Kid," Johnny, Johnny, ate the cat, come the morn some fur he shat!"
Gran, Watch your language! They tells tales and tales. Naught but tales.
Geralt, You one of the witches of the swamp? I hear Crookback Bog...
Gran," Witch? Me? Nay...I've no broom, nor owl, and not one wart on me nose."
Kid, Gran's got a lovely beak.
Gran," Oh, you darling girl. Kids are so sweet."
Geralt, You look after these kids?
Gran, They're my grandchildren.
Kid, Gran's good to us. Gonna be soup with scratchings for supper!
Gran, Kids get lost in the woods... I miss 'em... Seen 'em in the woods? No
Gran, Can't come in here. Not allowed in here.
Geralt, I just wanna talk to the boy.
Gran, Not allowed. It's not allowed.
Kid, I won't talk to you anyway. Gran don't like you. An--and Johnny's made
Geralt, Just got one question for you.
Gran, Don't be askin' no questions. You're a stranger. Not allowed to talk to
Kid, Can we eat now? Soup with scratchings...
Gran, You hear? Says he's afeared of you. Stop scarin' my kids.
Geralt, Just tell me where I can find Johnny.
Kid, Johnny's made up.
Gran," Begone, begone."
Geralt, Why don't you wanna talk about Johnny? One of you knows about him --
Kid, It's just him who's pals with Johnny. They pick mushrooms. And hunt
Geralt, The girl I mentioned is in danger. You gotta help me get your gran
Kid," All right, but you got to do somethin' for us, too. Play hide-n-seek."
Geralt," Let's play. You hide, but if I find you, you have to help me talk to"
Kid, He thinks he'll find us easy.
Kid, Means he's never hid from the Black Ones.
Kid," No lookin', and you have to count out loud -- all your fingers. Toes,"
Geralt," One, two, three..."
Geralt, Is there something else you need or want?
Kid, Hmm...I want...something sweet!
Kid, Me too!
Kid, Or fruits...
Kid, Give us a treat and we'll help you.
Geralt, Here's some treats.
Kid, Yum!
Kid, Never eatin'¹ nothin' like this before in me life!
Geralt, Don't have any treats.
Kid," Well here's what you can do: go get some, play hide-n-seek with"
Geralt, Let me see if I can find some treats.
Geralt, Have any of you ever seen Johnny?
Kid, Course. Looks just like him.
Geralt, Then why do you say he's made up?
Kid," Gran says so, and Gran knows lots."
Geralt, Does your gran treat you right? She ever hurt you?
Kid, Never.
Kid," When we're bad, she cries."
Kid," She's scared, says strangers might take us...and we'll disappear."
Geralt, The boy who plays with Johnny -- he must be brave.
Kid," Not brave, just stupid."
Kid," Sat his bare bum on an anthill once. But, yeah, he plays with Johnny."
Kid, And he eats snails. Yuck.
Geralt," Eighteen, nineteen, twenty. Ready or not, here I come."
Geralt, There you are.
Geralt, I can see you!
Geralt, See you. Come out!
Geralt, Found you. You can stop hiding.
Kid, Aww...
Kid, Found me.
Kid, How'd you find me?!
Kid, No fair. I'm 'sposed to win.
Geralt, Found you. You're the last one.
Kid," Bet you cheated. Come to the cottage, I gotta tell the others I won."
Geralt, No one left hiding.
Kid," You're a wizard, right? Gonna show us some tricks when we get to the"
Geralt," No, we'll talk about your promise."
Geralt, Guess that's everyone. Found you all.
Kid," You don't play right. But we'll help. Come on, let's talk to the others,"
Geralt, Found you. Every last one.
Kid, But you found me last! Let's go back to the cottage. Can we tell 'em I
Geralt, Found you all. Now you gotta keep your word and help me talk to
Kid," Why wouldn't we? Promised, didn't we?"
Kid," Gran! Gran! Bumblebee bit Yagna in the arse! Gran, come!"
Geralt, Don't be afraid...
Kid, Don't know nuthin'.
Geralt, I won't hurt you.
Kid, Where's Gran?
Geralt, She's busy.
Geralt, I just want to talk to Johnny. He could know more than you.
Kid," ...Not gonna hurt 'im, right? 'Cause...he's real, he's not made up."
Geralt, I'm not gonna hurt him.
Kid," Johnny used to be by, 'cause Gran liked listenin' to his songs. When we"
Geralt, Where can I find Johnny?
Kid, There's a little meadow on the edge of the swamp. This strange tree
Geralt, Thank you.
Geralt, Why're you scared to talk?
Kid, I'm not scared of nuthin'!
Geralt, You're all scared of something. Woulda told me about Johnny
Kid, I'm worried about Johnny. He don't come 'round no more. Once when we was
Geralt, Where are you and your friends' parents?
Kid," Dead. Some starved...others were killed. Like mine... One day, I went"
Geralt," It's all right, that's enough..."
Geralt," If Johnny's real, he must leave prints. Small footprint... Johnny's"
Geralt, Johnny? Don't be afraid.
Geralt, You're a bucca...?
Johnny, (shakes head)
Geralt, A lutin...?
Johnny, (shakes head)
Geralt," Ah, a godling. Not many of you left."
Johnny, (nods)
Geralt, I'm looking for a woman with ashen hair. Seen her?
Geralt," Tell me everything, from the start. Where did you see her, what was she"
Geralt, Why not?
Johnny, (covers mouth and points to it)
Geralt," What's wrong, can't talk?"
Johnny, (nods)
Geralt, Why? Lost your voice?
Johnny, (nods)
Geralt, Can I help you somehow?
Johnny, (beckons to follow)
Geralt, Want me to follow you?
Johnny, (nods)
Geralt," No choice, I guess."
Johnny, (shakes head)
Geralt, Can't understand you. Try to explain it somehow...?
Johnny, (facepalms)
Geralt, You know the kids from the clearing well?
Johnny, (doesn't make any gesture)
Geralt, Don't be afraid. Not gonna hurt anyone.
Geralt, This where you live?
Johnny, (nods head)
Geralt," Cozy burrow, good location. Must know everything that happens in the"
Geralt, Watch out!
Geralt, Stay close to me.
Geralt, This the place? Let me look around.
Johnny, (pointing upward)
Geralt, Something's on the ledge? Something that'll get you your voice back?
Johnny, (nods)
Geralt, Guess I gotta make this climb.
Johnny, (nods)
Geralt," Ah, the bottle from the nest. Already got it."
Johnny, (outstretches hands)
Geralt, Maybe he meant this bottle...
Geralt, Here.
Johnny, Whiskey! Slither! Ringworm! Rubbish! Bumblebee! Flabbergasted! Ha! The
Geralt, Done celebrating?
Johnny," My favorite words... Life without savoring the ""surreptitious"
Geralt, Hang on a minute... I helped you -- now you help me.
Johnny, Would you turn this beautiful act of altruism into a banal bartering of
Geralt," I'm looking for a young, ashen-haired woman. See anyone like that?"
Johnny," Did I ever. Remember it as if it were yesterday. Soon as I awoke, I"
Geralt," She ran off toward the orphanage. Kids could know something, or the"
Johnny, That old hag don't speak to strangers. And you're a stranger.
Geralt, Will she talk to you?
Johnny," I have spoken to her, got my ways... So be it. You helped me, and"
Geralt, What do you know about the Crones?
Johnny," They're as old as this forest... Cruel, vindictive... Not to"
Geralt, What if someone does cross them?
Johnny," Might take his voice, might take his life -- depends on their whim."
Geralt," I've been to the village in the swamp, met a woman who might've been"
Johnny, Did she seem...confused to you?
Geralt," Nuts, completely."
Johnny," Oof, so I'm not crazy. That's no Crone, that's the granny who takes"
Geralt, An orphanage in the swamp?
Johnny, What d'you have against swamps? Lived here my whole life and I
Geralt, How'd you lose your voice?
Johnny, One morning I awoke and opened my mouth for my usual bout of singing
Geralt, Not a bit.
Johnny, I thought not. So it must be the Crones' doing. Who else would curse
Geralt, Couldn't ask a raven friend to just give you the bottle?
Johnny, Ravens serve the Crones. They don't help no one.
Geralt, How do you lock someone's voice in a bottle? Just wondering...
Johnny, As am I -- especially as mine's a voice to crown all voices.
Geralt, Somebody used some powerful magic on you -- as a prank or just
Johnny, Careful! Watch out!
Johnny," Good. It's clear. Not a Crone in sight. I need to sing to Gran, that"
Johnny," Little Johnny softy gazing, fire waning, pale"
Gran, You...got your voice back?
Johnny, I did! Though I seem to have lost an octave somewhere in the process.
Gran," You're not allowed here, Johnny. You shouldn't 'ave come."
Johnny," Calm down, Gran. Don't get angry -- it's not good for you."
Geralt, The woman I asked about earlier...
Geralt, Can you take me to the Crones?
Johnny," Forgive me, Gran, but this fellow absolutely must talk to the Ladies."
Gran," No, 'tis not allowed."
Geralt, Please. It's important.
Johnny," The fellow will be quiet. Gran, please hear me out. I found little"
Gran," Well, since you put it that way, Johnny...I'll help him. Come with me."
Gran," Johnny's a good, good lad. Though the Ladies don't like him, no... ""Foul"
Geralt, Who are the women in the tapestry?
Gran, Those're the Ladies.
Gran," Ladies lovely, with power o'er all"
Voice," How dare you disturb our rest, woman?"
Geralt, So you're the three Crones?
Voice," Crones? Where d'you get such an ugly word, young man?"
Voice, Village bitches have been gossiping again. There's no limit to how
Geralt, Is this a curse? You trapped in the tapestry?
Voice," Oh, he's curious."
Voice, We don't fall victim to curses -- we cast them.
Geralt," Is it my imagination, or is this tapestry made of hair?"
Voice," Ooh, he's got a sensitive touch. Touch me more, boy, touch me more."
Geralt, Where do you get human hair?
Voice, Never heard of the Cutting? 'Round here a young boy turns into a man
Geralt, What if the weft's crooked?
Voice, Then it must be unraveled.
Geralt, Someone's speaking through you?
Voice," Good looking¹ and clever, too. Where've you been hiding, boy?"
Geralt, I'm looking for the woman with ashen hair. I know you met her. Where is
Voice," Ooooh, he's impatient! Perhaps he only likes ashen-haired girls?"
Geralt, It's clear you met her. Tell me everything.
Voice," That was blunt. Well, perhaps it's for the best. Tell me, have you got"
Voice," Oh, hard times are upon us, White-Haired One. Brother has turned"
Voice, A dark power has surfaced near Downwarren. It feeds on hatred and
Geralt," Dark power? You need a knight-errant, or a witch hunter, not a"
Voice, The ealdorman of Downwarren will tell you all. Remember to collect
Geralt," I'll talk to the ealdorman, but I can't promise anything."
Voice," Move, woman! Get the young man the dagger!"
Voice," And you, White One -- return only once you've completed the task."
Geralt, A dagger? What for?
Voice," When the ealdorman sees this dagger, he'll know we sent you. He'll"
Geralt," The young woman... She's my daughter by choice, I raised her."
Voice," Huhuha. If she's shapely, what does it matter?"
Geralt, Matters to me.
Voice, I believe we've hit a nerve! He's bubbling like well-fed yeast.
Voice," Ooh, that's just how I likes 'em!"
Gran," Aye, mistress. Right. On my way. Dagger. Gotta bring the dagger..."
Gran, The dagger. For you. Ladies told me to give it to you -- here it is. The
Geralt, Nice village.
Ealdorman, Aye.
Geralt, A real pearl of the swamps.
Ealdorman, If ye say so.
Geralt, You get by all right?
Ealdorman," Aye, winter to winter, somehow we survive."
Geralt, Recognize this dagger?
Ealdorman," Aye, master. Didn't know you belong to them."
Geralt," So, you know who sent me. Good, easier that way."
Ealdorman, Forgive me... Didn't know ye came from the Ladies of the Wood.
Geralt, They help you often?
Ealdorman," From the time of his Cutting, every man is theirs... They be harsh"
Geralt, Hear about an ashen-haired woman meeting the Ladies of the Wood?
Ealdorman, I ain't heard nothin' about that. Beg your question to the
Geralt, They got informers?
Ealdorman, The woods listen for them. A lone word at an ill hour can arouse
Geralt, Ever meet the Ladies of the Wood?
Ealdorman, Never. They only show themselves to the chosen. Perchance one
Geralt," Don't belong to anyone. Down to business, I want to get this done"
Ealdorman, Ah. So that's how it's to be.
Geralt, I'm supposed to help solve your problem. Tell me what it is -- just the
Ealdorman, The war awoke an ancient power. An evil one that feeds on bloodshed.
all," fathers, sons, daughters and mothers."
Geralt," Solved your problem. Just in case, though, avoid the Whispering"
Ealdorman, Cannot be... Were somethin' lurkin' there?
Geralt, Ladies of the Wood don't know what this power is?
Ealdorman, They know all. Old Thecla claimed they be punishin' us. Folk
Geralt, I'll look around the Whispering Hillock.
Ealdorman," You be careful, master witcher. Don't ye treat this evil light."
Geralt, Need more details.
Ealdorman, Ye must see for yourself. Me gran's mum whacked me crosswise for
Geralt, When did all this start?
Ealdorman, Three year back. I remember -- 'twas a warm day -- went to check
QUEST, IN CIRI'S FOOTSTEPS (VELEN) |_
Geralt, Fang bites.
Voice," Begone, come no closer... I know whence you come... The powers that"
Voice, Why have you come...? Why spill this blood...? Are you here to grant me
Geralt, You claim to be imprisoned. How so?
Voice, I am bound here... In fetters of magic... I wander endlessly... A
Geralt," If something threatens the orphans, I'll help them myself."
Voice," The children have been taken... Free me, please... I can be a gale..."
Geralt, Deal. I'll help you.
Voice, Imprisoned for years...I shall be free again... Break my fetters...
Geralt, Got some raven feathers.
Voice, Find my remains... And bring me a mount... A wind-born steed... A
Geralt, Why do we need a black horse?
Voice, The beast and I shall be as one... As when I lived... We shall be a
Geralt, Where'll I find your remains?
Voice, My bones... They lie in a solitary mound... Nearby...due west...
Geralt, I'll gather what I need to free you. Then return.
Voice, Gather and return... To the hillock's depths... To the tree's rotten
Geralt," I don't believe you, spirit. Too many claim you're evil. Your words"
Voice, Dare harm me...and against you will rise...all the powers of
Geralt, I can't decide just yet.
Voice, You must come back... Free me... I beg you... Beware my sentries...
Geralt, Why do you think the kids from the meadow are in danger?
Voice, The sisters took them. They shall not return.
Geralt, Where'd they take them? I can help.
Voice, It is done already... It cannot be undone... There are no roads...
Geralt, The Crones? Whaddaya know about them?
Voice, The sisters are older than the oldest trees... Velen is their
Geralt, I was attacked.
Voice, This is my prison... A fortress besieged... Murderers I await... And
Geralt, Murderers?
Voice, Murderous sisters... Killed my body... Now my soul they hunt... For I
Geralt, Who are you?
Voice, I abandoned my Circle... Where I'd kept the balance... The Crones
Geralt, Never heard of a druids' circle in Velen.
Voice, I wander eternally through a maze of boughs... Helplessly sliding
Geralt, Why did they kill you?
Voice, The Crones want this land. They'd rule the wood alone. I stood in
Geralt, Must know the Crones pretty well.
Voice, They are Velen's curse... They hear all through severed ears... They
Geralt, Didn't set out to hurt anyone. I was attacked -- had to defend myself.
Voice, I sense no wrath...
Geralt, Didn't come here in anger.
Voice, Beguiled by darkness. But your heart... It is not black...
Geralt," I can hear a voice. Can't see who it belongs to, though."
Voice, I am but a spirit... I am but a whisper...
Geralt, Whisper to the wolves. Tell them to stay away. Who are you?
Voice, Once I protected them... Now they protect me... I protected this spot...
Geralt, Strange bones... Don't seem human to me.
Geralt, Ready. We can start.
Voice, Let me fly on raven wings... Lay bones amidst the feathers... Place all
Geralt, I offer raven feathers.
Voice, Once I was free... I shall be free once more...
Geralt, I offer your remains.
Voice, Once I was flesh... I shall be flesh once more...
Geralt, I offer raven feathers.
Voice, Once I was free... I shall be free once more...
Geralt, I offer your remains.
Voice, Once I was flesh... I shall be flesh once more...
Geralt," No, I should draw your blood now, let the horse drink it... But I"
Voice, Betrayed...! Betrayed...! Betrayed...!
Geralt," I don't trust you, I don't believe you. I know I have to stop you,"
Ghost, I will live...! You shall perish...
Horse, I live...
Geralt, Free the children.
Horse, I shall... A word once given must be honored...
Voice, I shall live... Live... Live... Live... I must live... I must...
Geralt," Solved your problem. Just in case, though, avoid the Whispering Hillock"
Ealdorman, Cannot be... Were somethin' lurkin' there?
Geralt, An evil spirit had possessed a tree on the hill. It was responsible
Ealdorman, How'd ye dispel this evil?
Geralt, Not sure what was lurking there. But it lurks no more.
Ealdorman," What did you do, witcher?"
Geralt," Believe me, you don't wanna know."
Ealdorman, What have ye done?
Geralt, Didn't have to fight anything or anyone. I simply freed the spirit.
Ealdorman," Ye did what?! Freed the evil, so it can prowl the world as it"
Geralt, Did what had to be done.
Ealdorman, An' if it returns?
Geralt, Ask the Ladies of the Wood to help.
Geralt, Some being had come to possess the tree's heart. I destroyed the
Ealdorman, So it were a ghost... Will it be back?
Geralt, No.
Geralt," Went up the hill, took care of the problem. The details are my"
Ealdorman," Aye, truly as you said. I knows naught of such things anyway."
Geralt," The Crones, or Ladies of the Wood, as you call them, said to remind"
Ealdorman," Aye, I do. Gimme the dagger... Be back soon."
Ealdorman," There's payment. Take it to the Ladies, will ye?"
Geralt, What the hell was that?
Ealdorman," Tis¹ our pact. Ye're a stranger, ye don't know life here. It's"
Geralt, So all those ears in the woods...
Ealdorman," Put it out yer mind, master. Ye soon be leavin', and we must tarry"
Weavess," Sheathe your weapon, young man..."
Brewess, He's even lovelier in real life...
Geralt," Hmm, in real life you're...different...than you were in the tapestry."
Whispess, Well? Bring it here!
Whispess," You were to bring it, not ogle it."
Whispess, You disobeyed us once more.
Brewess," We are forgiving creatures, but you -- you allowed the children to"
Anna, They never wanted to flee. They liked it here. They played.
Weavess, Your punishment must be harsh. Now silence. We must speak to the
Whispess, Never seek to cross us again.
Brewess," We shall forgive you this transgression, for you've done well. Your"
Weavess," But now, we must talk to our white-haired friend."
Geralt," I know that mark. This is Anna, the wife of the baron of Crow's Perch."
Weavess, She belongs to no man.
Brewess, A fruit ripened in her womb. A fruit spouted from seed sown by a man
Whispess, We helped her. She agreed to serve.
Weavess," She bears the mark. She is ours. Come, it is another woman who"
Geralt, Our deal -- I did my part. Now you do yours.
Whispess, A word once given we never break.
Weavess, The girl... Mousy blonde -- that's what they call it.
Brewess," Thin as a rail -- terrified, exhausted. She could barely stand, the"
Whispess, We cared for her the best we could.
Weavess, Like she was our own daughter.
Whispess, Wasted affection. She proved a very naughty girl.
Weavess," Mischievous, stubborn, and selfish."
Geralt, Don't believe you. They say you always keep your word. So tell me
Brewess," We shall tell you, brave boy."
Geralt, The young woman I seek never hurt anyone without cause.
Brewess, You've not seen her long. She's changed for the worse.
Geralt, Why'd she attack you?
Whispess, She's no longer the girl you once knew. Wrath consumes her.
Geralt, You used me to tame the Whispering Hillock -- a lot of work.
Brewess," Naught's free, brave soul."
Weavess, Did you destroy the evil powers? Have you brought peace to our
Geralt, Yes.
Brewess," So fortunate to have found so brave a knight, so able!"
Geralt, I freed the spirit trapped in the tree.
Whispess," Hear that, sisters?"
Weavess, Traitor!
Brewess, She took the children! 'Twas her!
Geralt, We made a deal. I was supposed to help the villagers. I held up my
Whispess," So, a mockery, you chose to outwit."
Geralt, What did you need the children for?
Brewess, Need? We? They needed us. Our care.
Geralt, Where are they?
Whispess, They are far away.
Brewess, Their troubles are over.
Weavess, You exposed them to great danger.
Brewess, We cannot help them! Because of you!
Whispess," Leave it, sisters. Everything in its time..."
Geralt, Whose spirit was trapped in the tree?
Whispess, That of one who once cheated death.
Brewess," But she couldn't deceive you, brave knight."
Weavess, You've rid the world of a great evil.
Whispess, You've freed an ancient power.
Weavess," It will rise again. Elsewhere, beyond our reach. Blood will flow"
Brewess, What foolish things men sometimes do.
Geralt, You looked different in the tapestry.
Whispess, We're all dressed up just for you.
Brewess, If you only knew how much time we spent in front of the glass!
Weavess, Do you desire us?
Geralt, I'm impressed. Polymorphism -- a rare talent.
Brewess," Oh, I'd suck every last drop out of you!"
Weavess," Ah, to be woven together with you!"
Whispess, I'd be your best -- and last.
Geralt," Hm, not what I came for."
Geralt, You know why I'm here. You know what I want.
Weavess," You shall dream of us, and return for what you reject. They always"
Story," Fleeing the Bog"".]"
Geralt, You tried to kill her. Tried to butcher her like an animal and eat her.
Brewess," Her blood, the taste brought back memories of our youth."
Weavess, Elder Blood. Extraordinary girl. But you know that.
Whispess, Such a shame she fled.
